,cluster_no,sentences
52,0,lorde professor english john jay college criminal justice part city university new york
53,0,from lorde brief affair sculptor painter mildred thompson
54,0,her conception many layers selfhood replicated multi genres work
55,0,lorde died liver cancer november st croix living gloria i
56,0,in the guardian named musica viva in schools interactive whiteboards one ten global r d projects changing arts culture
57,0,musica viva international concert season presents great chamber musicians around world
58,0,the season feature the orchestra age enlightenment eighth blackbird pacifica quartet sitkovetsky trio takacs quartet angela hewitt piano cell duo nicolas altstaedt aleksandar mad ar
59,0,the season featured kelemen quartet sitkovetsky trio american brass quintet choir king college cambridge imogen cooper borodin quartet ray chen timothy young
60,0,the season featured karin schaupp pavel steidl morgenstern trio christopher moore tokyo string quartet jian wang bernadette harvey elias string quartet angela hewitt academy ancient music sara macliver
61,0,the season featured tafelmusik diana doherty st lawrence string quartet trio dali tak cs quartet amarcord kuss quartet naoko shimizu anthony marwood aleksandar mad ar
62,0,inspired life vienna enormous respect teacher simon pullman determined create pullman like ensemble sydney
63,0,the musica viva festival held biennially sydney conservatorium music
64,0,in festival feature pinchas zuckerman lambert orkis elias quartet
65,0,in musica viva festival included lambert orkis benjamin beilman alice giles sharon bezaly hector mcdonald pieter wispelwey pacifica quartet goldner string quartet
66,0,in second musica viva festival held sydney musicians included pekka kuusisto tak cs quartet eggner trio khatia buniatishvili goldner string quartet musicians australian youth orchestra
67,0,the musica viva festival held april
68,0,musica viva coffee concerts held sydney melbourne five tuesday mornings throughout year
69,0,the melbourne season features young kwon choi songmakers australia nikki chooii amid farid james crabb genevieve lacey goldner string quartet
70,0,the melbourne season featured benjamin breen caroline almonte tiffany speight david mcnicol oliver she la compa ia adam chalabi marshall mcguire
71,0,the sydney season featured synergy percussion geoffrey collins alice giles australian brass quintet emma jane murphy bernadette harvey
72,0,the melbourne season featured howard panny timothy young tinalley string quartet saguaro trio melbourne symphony percussion friends australian brass quintet
73,0,his government credited providing economic stability country marred years hyperinflation
74,0,political liberalization declining world economy contributed brazil economic social problems
75,0,in economy floundered gdp declined impact accelerated rising inflation failure political leadership
76,0,in rousseff second term narrow margin far failed prevent popularity falling
77,0,in roberto jefferson chairman brazilian labour party ptb implicated bribery case
78,0,tancredo neves minas gerais get lio dornelles vargas minister justice former federal deputy senator prime minister seized momentum
79,0,sarney government fulfilled tancredo promise passing constitutional amendment constitution inherited military regime summon elections national constituent assembly full powers draft enact new democratic constitution country
80,0,as political transition developed economy suffered high inflation stagnancy ref
81,0,economic changes included lifting import barriers exposing local companies international competition
82,0,parliamentary elections held october government failed win reliable base congress president started lose support
83,0,his vice president itamar franco assumed presidency remainder collor term
84,0,franco moved away collor made arrangements national coalition government including main leaders pmdb pfl psdb
85,0,cardoso put together successful stabilization program plano real brought inflation annually
86,0,the hard liners reacted opening series terrorist bombings
87,0,in king spain made official state visit united kingdom
88,0,despite treaty concern reaction marriage victoria eug nie conversion among protestants accommodated british government decision king edward need grant official consent marriage privy council despite fact niece british subject
89,0,a sapphire ring owned victoria eugenie sold sotheby may ref
90,0,as prince henry product morganatic marriage took style prince battenberg mother created princess battenberg right
91,0,victoria eugenie grew queen victoria household british monarch reluctantly allowed beatrice marry condition remain mother full time companion personal secretary
92,0,her father died active military service contracting fever africa
93,0,in whole family gathered rome baptism palazzo malta juan eldest son infante juan carlos vatican cardinal secretary state eugenio pacelli stood dying pope pius xi would become pope pius xii months
94,0,after wedding ceremony royal procession heading back royal palace assassination attempt made king queen
95,0,just modern khmer emerging transitional period represented middle khmer cambodia fell influence french colonialism ref
96,0,many native scholars early th century led monk named chuon nath resisted french thai influences language
97,0,the following classification scheme showing development modern khmer dialects ref
98,0,standard khmer central khmer language taught cambodian schools used media based dialect spoken throughout central plain ref region encompassed northwest central provinces
99,0,northern khmer called khmer surin khmer refers dialects spoken many several border provinces present day northeast thailand
100,0,phnom penh khmer spoken capital surrounding areas
101,0,khmer krom southern khmer spoken indigenous khmer population mekong delta formerly controlled khmer empire part vietnam since
102,0,the voiced plosives pronounced implosives speakers feature weak educated speech become ref
103,0,in syllable final position approach respectively
104,0,in addition consonants occur occasionally recent loan words speech cambodians familiar french languages
105,0,slight vowel epenthesis occurs clusters consisting plosive followed beginning cluster ref
106,0,a complete khmer sentence consists four basic elements include optional topic optional subject obligatory predicate various adverbials particles ref
107,0,the khmer particle marked attributes old khmer noun phrases used formal literary language signify precedes noun follows attribute
108,0,khmer verbs completely uninflected subject topic introduced clear context noun phrase may dropped
109,0,khmer uses three verbs translates english copula
110,0,khmer passive voice ref construction utilizing main verb hit correct affect auxiliary verb meaning subject undergo results sentences translated english using passive voice ref
111,0,relative clauses likely introduced immediately follow head noun ref
112,0,gist introduced diagnostic term ref
113,0,if cd stain negative suspicion remains tumor gist newer antibody dog discovered on gist used
114,0,barium fluoroscopic examinations ct commonly used evaluate patient abdominal complaints
115,0,as tumor grows may project outside bowel exophytic growth inside bowel intraluminal growth commonly grow exophytically bulk tumor projects abdominal cavity
116,0,imatinib glivec gleevec orally administered drug initially marketed chronic myelogenous leukemia based bcr abl inhibition also inhibits c kit tyrosine kinase mutations pdgfra mutations d v useful treating gists several situations
117,0,approximately gists associated abnormal c kit pathway
118,0,kit p d del exon a subset gastrointestinal stromal tumors previously regarded wild type tumors carries somatic activating mutations kit exon p d del ref
119,0,the court made chief justice four associate justices
120,0,on october senior associate justice nadeau hand delivered resignation letter governor john lynch announcing retirement court effective december governor council accepted
121,0,justices assigned sit temporarily supreme court authority supreme court justice hear arguments render decisions file opinions
122,0,the advisory committee judicial ethics provides advisory opinions appropriate rules court statutes relating ethical professional conduct judges advise would evidence good faith disciplined
123,0,the mortgage specialists inc v implode explode heavy industries inc n h the court found internet news outlets treated traditional print media receive legal privileges granted journalists
124,0,sweezy v new hampshire citing due process clause fourteenth amendment u s supreme court reversed affirmation contempt finding subversive person refused answer questions activities attorney general subsequently refused state superior court
125,0,chaplinsky v state new hampshire u s supreme court created fighting words exception first amendment united states constitution
126,0,part ii article states the house representatives shall grand inquest state impeachments made shall heard tried senate
127,0,in first impeachment trial supreme court justice commenced judge woodbury langdon portsmouth brother governor john langdon
128,0,the committee conducted investigation proposed house adopt hr a resolution recommending impeachment supreme court chief justice david a brock authored
129,0,the committee sent two resolutions house hr hr respectively recommending article impeachment brought supreme court justice sherman d horton jr justice john t broderick jr
130,0,the state constitution provide level evidence required determine whether conduct impeachable number votes required convict unlike u s constitution
131,0,in legislature established two courts take place existing supreme court
132,0,in state constitution amended establish supreme court superior court constitutional courts means could changed abolished constitutional amendment legislature
133,0,in general court established statute unified court system making chief justice supreme court responsible efficient operation courts new hampshire
134,0,past studies determined retailers offer shopping carts sears suffered lower sales comparison retailers use shopping carts ref
135,0,in british supermarket chain tesco trialed shopping carts user adjustable wheel resistance heart rate monitoring calorie counting hardware effort raise awareness health issues
136,0,in many countries customer pay small deposit inserting coin token card returned customer returns cart designated cart parking point
137,0,the deposit varies usually coins higher value used
138,0,shopping cart theft costly problem stores use
139,0,another method mount pole taller entrance onto shopping cart pole block exit cart
140,0,some retailers including aldi chain supermarkets use system cart lock mounted handle connecting cart front nested together chain mounted cart collection corral
141,0,in driverless shopping cart made chaotic moon labs ref
142,0,the names shopping cart vary region
143,0,carriage used new england region united states
144,0,barrae coohudder some places scotland
145,0,wagon new york hawaii
146,0,he high commissioner india male maldives april march ref
147,0,currently consul general india consul general india new york usa april
148,0,in response swachh bharat abhiyan announced prime minister india narendra modi mulay initiated swachh consulate campaign new york
149,0,nokarshahiche rang a autobiographical book life experiences various places countries
150,0,door rahila gaon one poem stretches stanzas rhyme
151,0,in recent past contributed regular column loksatta marathi titled badalate vishwa badalata bharat ref vishwachi maze ghar ref sakal
152,0,contributes hindu newspaper literary pages english
153,0,he written several features human interest stories several journals periodicals etc english japanese marathi sakal lokmat maharashtra times antarnad sadhana etc ref
154,0,andar ek asmaan urdu a collection poems urdu
155,0,subah hai ki hoti nahin a collection poems middle east situation hindi urdu
156,0,from simple beginning village lat kolhapur district risen high position high commissioner india male maldives consul general india ref new york usa
157,0,his father manohar krishna mulay farmer tailor mother akkatai mulay homemaker
158,0,during phase faced many difficulties find resources study material guidance higher civil services aspired join
159,0,meanwhile topper mumbai university post graduation personnel management peter alvarez medal
160,0,after scoring first rank maharashtra public service commission mpsc examination year also succeeded union public service commission upsc examination selected much coveted indian foreign service
161,0,ibm introduced compact ref system targeted lower end market
162,0,the also allowed use channel attached external desktop dasd effectively allowing maximum mb
163,0,the as entry stripped as
164,0,s two sixteen bit processors csp control storage processor msp main storage processor
165,0,ibm developed form virtual memory s used similar manner swap space modern computers
166,0,the ibm system simple popular small business computer system first announced may ref shipped later year
167,0,command keys became rpg indicators ka ky different screen forms recognized different invisible control characters hidden forms
168,0,a company called amalgamated software north america asna produced third party compiler system late called rpg
169,0,it provided password security resource security allowing control allowed access program file
170,0,devices could far mile system unit
171,0,it allowed creation databases large size
172,0,in late us department justice ended case ibm ibm went forward system named as
173,0,password security used begin session computer terminal
174,0,secedit userid also used confine user operational authority specific menu
175,0,files s may sequential s direct d indexed i
176,0,in system announced support distributed data management architecture ddm
177,0,keys f f also called cmd command keys
178,0,one feature s basic fortran exclusive
179,0,cobol fortran rpg generated object code type o
180,0,dfu programs generated subroutine r code wsu programs
181,0,ibm a daisywheel impact printer far removed ibm typewriters
182,0,ibm a band printer rated lines per minute lpm
183,0,ibm a dot matrix printer rated lpm
184,0,by mid dip switches gone status quo became online setup
185,0,up local devices could configured system using eight lines numbered a line defined series twinaxial cables attached devices in out ports
186,0,the cnfigssp procedure used configure system including devices
187,0,cnfigssp used place devices line address map identify particular ibm printer terminal model assign characteristics console alternate console subconsole name printer subconsole
188,0,the popular program programmer operator productivity aid pop it cost
189,0,a popular database tool available third party feu file edit utility
190,0,there games library called funlib contained games like star trek football hangman coffee grand prix biorhythm program
191,0,as modern machines computer printers made s era slow point possible s computers write data printer faster print
192,0,to allow system manage problem system components called writers spool files developed
193,0,sys options on printer p change forms number buxx
194,0,by replying message after changing forms operator could sure reports standard stock would print checks
195,0,sys options align forms printer p
196,0,by replying message after aligning forms operator could sure check information print forms properly aligned
197,0,i applied reel diversity program gotten
198,0,tulku premiered may doxa documentary film festival ref
199,0,the film televised august cbc news network program the passionate eye ref
200,0,the special edition dvd film released march festival media ref
201,0,gesar mukpo begins interviewing fellow canadian dylan henderson first caucasian tulku discovered west recognized ch gyam trungpa rinpoche incarnation one teachers
202,0,mukpo visits tibetan refugee colony bir northern india since welcomed fleeing tibetans chinese occupation tibet
203,0,sneha khanwalkar nominated various awards music parts including prestigious best music director award th filmfare awards ref
204,0,nasir narration describes history nature wasseypur
205,0,during british colonial rule british seized farm lands dhanbad coal began business coal mining dhanbad
206,0,shahid khan jaideep ahlawat pathan takes advantage mysteriousness faceless dacoit sultana qureshi impersonating identity rob british ferry trains
207,0,on rainy day ramadhir singh overhears shahid ambitions taking coal mines
208,0,sardar asgar nasir start working j p singh satya anand ramadhir singh son
209,0,sardar asgar escape jail
210,0,faizal reveals friend father sardar would travelling without security next day
211,0,according bajpayee role sardar khan negative role done till date
212,0,chadda revealed interview role helped bag film roles ref
213,0,saibal chatterjee ndtv gave movie stars concluding it may faint hearted prissy
214,0,the mafia downfall dhanbad come gang wars rather came differences kunti singh widow surajdeo singh three brothers baccha singh rajan singh ram dhani singh gave others opportunity make space ref
215,0,the law applicable contract dependent conflict laws legislation court action relation contract brought
216,0,there several different types damages
217,0,both order specific performance injunction discretionary remedies originating part equity
218,0,if contract contains valid arbitration clause aggrieved party must submit arbitration claim accordance procedures set forth clause
219,0,in u s virtually states notably new york ref adopted uniform arbitration act facilitate enforcement arbitrated judgments
220,0,another dimension theoretical debate contract place within relationship wider law obligations
221,0,the common law describes circumstances law recognise existence rights privilege power arising promise
222,0,an oral contract may also called parol contract verbal contract verbal meaning spoken rather words established usage british english regards contracts agreements ref common although somewhat deprecated loose american english ref
223,0,misrepresentation means false statement fact made one party another party effect inducing party contract
224,0,a contractual term provision forming part contract ref
225,0,if terms contract uncertain incomplete parties cannot reached agreement eyes law ref
226,0,in united kingdom courts determine whether term condition warranty example actress obligation perform opening night theatrical production condition ref singer obligation rehearse may warranty ref
227,0,standard form contracts contain boilerplate set one size fits contract provisions
228,0,a term may either express implied
229,0,a term may implied basis custom usage particular market context
230,0,whilst early rules trade barter existed since ancient times modern laws contract west traceable industrial revolution onwards increasing numbers worked factories cash wage
231,0,contract law based principle expressed latin phrase pacta sunt servanda agreements must kept ref
232,0,however european union united states need prevent discrimination eroded full extent freedom contract
233,0,at common law elements contract offer acceptance intention create legal relations consideration
234,0,less common unilateral contracts one party makes promise side promise anything
235,0,where something advertised newspaper poster normally constitute offer instead invitation treat indication one parties prepared negotiate deal ref
236,0,although invitation treat cannot accepted ignored may nevertheless affect offer
237,0,in colonial times concept consideration exported many common law countries unknown scotland civil law jurisdictions
238,0,nancy barbato sinatra frank sinatra announced separation valentine day february frank additional extra marital affair ava gardner compounding transgressions becoming public knowledge
239,0,kitty kelley claims sinatra first seen photographs ava gardner magazine sworn would marry
240,0,a workaholic reportedly slept four hours night average
241,0,in interview november issue vanity fair farrow said sinatra never really split answered possibly asked son ronan farrow might sinatra ref
242,0,the fbi secret dossier sinatra released response freedom information act requests
243,0,around second half th century old english mentions figure named thunor unor recorded figure likely refers old english version god
244,0,a th century ad codex mainz germany known old saxon baptismal vow records name three old saxon gods uu den old saxon wodan saxn te thunaer way renunciation demons formula repeated germanic pagans formally converting christianity ref
245,0,the kentish royal legend probably th century contains story villainous reeve ecgberht kent called thunor swallowed earth place known unores hl old english thunor mound
246,0,in poetic edda compiled th century traditional source material reaching pagan period thor appears mentioned poems v lusp gr mnism l sk rnism l h rbar slj hymiskvi lokasenna rymskvi alv ssm l hyndlulj ref
247,0,in sk rnism l god freyr messenger sk rnir threatens fair ger r freyr smitten numerous threats curses including thor freyr odin angry risks potent wrath ref
248,0,thor main character h rbar slj traveling east comes inlet encounters ferryman gives name h rbar r odin disguise attempts hail ride
249,0,so thor secures goats egil home thor t r go hymir hall search cauldron large enough brew ale
250,0,thor arrives tells loki silent threatens rip loki head body hammer
251,0,in j tunheimr j tunn rymr sits barrow plaiting golden collars female dogs trimming manes horses
252,0,as result gods goddesses meet hold thing discuss debate matter
253,0,early evening disguised loki thor meet rymr assembled j tnar
254,0,in poem hyndlulj freyja offers j tunn woman hyndla bl sacrifice thor may protected comments thor care much j tunn women ref
255,0,in prologue prose edda snorri sturluson euhemerises thor prince troy son king memnon troana daughter priam
256,0,the name aesir explained men asia asgard asian city e troy
257,0,in prose edda thor mentioned four books prologue gylfaginning sk ldskaparm l h ttatal
258,0,in english placenames old english thunor contrast old norse form name later introduced danelaw left comparatively traces
259,0,in germany locations named thor sparsely recorded amount locations called donnersberg german donner mountain may derive name deity donner southern germanic form god name ref
260,0,in modern times thor continues referred popular culture
261,0,old norse rr old english unor old high german donar old saxon thunar old frisian thuner cognates within germanic language branch descending proto germanic masculine noun unraz thunder ref
262,0,the name god origin weekday name thursday
263,0,beginning viking age personal names containing theonym th rr recorded great frequency
264,0,butuan city land area ref roughly total area caraga region
265,0,the forestland mentioned earlier comprised production protection forest
266,0,butuan city commercial industrial administrative center caraga region ref
267,0,butuan also fast becoming cosmopolitan city
268,0,butuan city becoming one highlights tourism programs philippines people local foreign discovering wonders secrets ancient beautiful city
269,0,susan calo medina host travel time abs cbn news channel tipong pinoy cultural oriented show aired gma network
270,0,laurice guillen award winning film director actress also wife actor johnny delgado deceased
271,0,josette campo atayde known sylvia sanchez
272,0,dante javelosa luzon veteran anchor broadcaster
273,0,seth go khe member player pilipinas aguilas national tackle football team
274,0,ardy larong small forward shooting guard alaska aces philippine basketball association pba
275,0,as education hub butuan colleges variety courses
276,0,big private universities like ateneo university de la salle university expressed put local branches
277,0,the main modes transportation within city proper orange tricycle accommodate passengers
278,0,with new developments surrounding old unfinished sports complex facility city government transferred sports complex hectare complex brgy
279,0,butuan colonization known rajahnate butuan indianized kingdom known metallurgic industry sophisticated naval technology
280,0,on march easter sunday ferdinand magellan ordered mass celebrated
281,0,during japanese occupation philippines world war ii half butuan burned local guerrilla forces attacked enemy garrison march battle butuan ref ref
282,0,by late butuan industry specialized timber earning nickname timber city south
283,0,modern sheet music may come different formats
284,0,scores come various formats
285,0,a study score sometimes size often indistinguishable miniature score except name
286,0,a collection songs given musical usually printed label vocal selections
287,0,scores baroque period often form bass line bass clef melodies played instrument sung upper stave staves treble clef
288,0,the skill sight reading ability musician perform unfamiliar work music upon viewing sheet music first time
289,0,an early computer notation program available home computers music construction set developed released several different platforms
290,0,in harry connick jr invented system method coordinating music display among players orchestra ref
291,0,musical notation developed parchment paper used writing
292,0,even advent music printing mid much music continued exist solely composers hand written manuscripts well th century
293,0,mechanical plate engraving developed late sixteenth century ref
294,0,the late th century saw massive explosion parlor music ownership skill playing piano becoming de rigueur middle class family
295,0,in styles music different musical notation methods may used
296,0,professional country music session musicians typically use music notated nashville number system indicates chord progression using numbers enables bandleaders change key moment notice
297,0,however great influence goltz le bon unionists primary example young turks japan
298,0,the first election ottoman parliament general assembly ottoman empire young turk revolution netted committee union progress seats despite leading role revolution
299,0,on august government passed law associations banned ethnically based political parties
300,0,as result law associations shut ethnically based organisations clubs time second general election smaller ethnic parties coalesced liberal union
301,0,right time young turk revolution secretive committee dominated shadowy central committee sparked many dubious conspiracy theories cup
302,0,enver pasha minister war easily charismatic three ruled war hero one popular public
303,0,the emerging government could hardly called constitutional
304,0,an extensive purge army carried january officers including field marshals generals lieutenant generals major generals colonels enver considered inept disloyal forced take early retirement
305,0,absent wartime atmosphere cup purge minority religions political life least christians joined elected third parliament
306,0,on august ottoman german governments signed secret offensive defensive alliance
307,0,in order rally public support war triumvirate wanted appear like empire victim allied aggression
308,0,during early years th century especially onwards cup enjoyed great success recruiting army officers especially third army based macedonia
309,0,one principal diplomatic problems th century europe called eastern question concerned declining ottoman empire
310,0,the chinese revolution russian revolution diverted attention world revolutionaries young turk revolution
311,0,in countercoup islamists cup culminated march incident reactionaries rebelled restoration constitutional system retook power istanbul support sultan abdulhamid ii absolute rule
312,0,as defeat loomed cup founded underground group known karakol guard set secret arms depots wage guerrilla war allies reached anatolia
313,0,the cup times identified two opposition parties mustafa kemal atat rk attempted introduce turkish politics party order help jump start multiparty democracy turkey namely progressive republican party liberal republican party
314,0,it also karabekir crystallised modern turkish position controversial armenian genocide telling soviet peace commissioners return armenians territory controlled turks question armenians perished rebellion making
315,0,atat rk particularly eager islamism marginalised leading tradition secularism turkey
316,0,the first major offensive turks undertook world war i unsuccessful attempt drive russians portion partially classic armenia retaken russo turkish war
317,0,the special organisation played key role armenian genocide
318,0,the dissolution cup achieved military trials
319,0,much unionist leadership assassinated operation nemesis
320,0,there households children age living headed married couples living together female householder husband present non families
321,0,in town population spread age years age older
322,0,cumberland home arnold mills fourth july parade mile road race held year celebrate fourth july
323,0,cumberland farms large convenience store chain takes name original dairy farm business cumberland rhode island
324,0,a popular event cumberlandfest held year second weekend august diamond hill park diamond hill road
325,0,the blackstone river theatre broad street hosts wide variety cultural events mostly form intimate concerts encompassing prevailing traditional cultures people settled blackstone valley
326,0,the popular tourist destination nine men misery tomb found grounds former trappist monastery abbey our lady valley part destroyed fire
327,0,aaron fricke denied request bring sex date school prom cumberland high school
328,0,in summer ref cumberland american little league baseball team led coach david belisle new england regional little league baseball championship went play little league world series
329,0,the one non public school cumberland mercymount country day school run sisters mercy americas roman catholic order new england regional headquarters cumberland
330,0,i heart my cat
331,0,the wit wisdom cancer ref
332,0,the tom doug show paley regular guest nationally syndicated tom doug radio show weekly comedy music show pacifica radio network ref
333,0,she plans publish much work including nina adventures fluff original work sita sings the blues copyleft licence ref
334,0,in paley moved trivandrum india husband taken job
335,0,she taught design technology section parsons part the new school ref
336,0,in made world first cameraless imax film pandorama ref short modernist film shown widely major film festivals mm form
337,0,between projects paley worked freelance director duck studios los angeles ref
338,0,the football war honduras el salvador two members cacm effectively suspended attempts regional integration esquipulas ii agreement signed
339,0,government budget deficits inflation legacies earthquake
340,0,the ideology sandinistas put future private sector private ownership means production doubt
341,0,in eleven years power sandinista government never overcame economic inequalities inherited somoza era inherited u s though eleven years war american trained counterinsurgents
342,0,the chamorro government initial economic package embraced standard international monetary fund world bank set policy prescriptions
343,0,inspired imf minister finance francisco mayoraga quickly put together economic plan days
344,0,a series political problems natural disasters continued plague economy
345,0,ataide letter gave lopo soares news india february
346,0,august crossing indian ocean th armada lopo soares de albergaria arrives anjediva island
347,0,late august early september saldanha louren accompany lopo soares th armada coast cannanore
348,0,september the th armada appears calicut
349,0,satisfied th armada proceeds south cochin
350,0,hearing armada arrival duarte pacheco quilon sets sail back cochin meets lopo soares september october according castanheda
351,0,converging cranganore portuguese cochinese vembanad fleet quickly disperses zamorin forces beach cannon fire lands amphibian assault force portuguese cochinese nairs take rest zamorin forces close combat
352,0,hearing attack zamorin dispatched hastily formed calicut fleet ships paraus save city
353,0,two days later portuguese receive urgent message ruler tanur tanore whose kingdom lay north road calicut cranganore
354,0,the raid cranganore defection tanur serious setbacks zamorin pushing frontline north effectively placing vembanad lagoon zamorin reach
355,0,no less importantly battles cranganore tanur involved significant numbers malabari captains troops clearly demonstrated zamorin longer feared region
356,0,late december his naus loaded spices markets cochin quilon topped cargoes seized merchant ships lopo soares prepares departure cochin
357,0,duarte pacheco replacement capit mor fort manuel cochin nobleman manuel telles de vasconcelos manuel telles barreto according barros
358,0,the nd india armada pedro lvares cabral opened hostilities kingdom portugal zamorin king calicut calecute kozhikode dominant maritime power malabar coast india
359,0,overall th armada success
360,0,year old order malabar coast finally broken zamorin authority fragmenting arab merchants fleeing portuguese allies longer tentative confident growing
361,0,for zamorin veritable nightmare
362,0,early january after brief stop cannanore lopo soares th armada set sail back across indian ocean
363,0,february the th armada arrives malindi
364,0,february the th armada arrives kilwa lopo soares announces intention collect yearly tribute city due king manuel i portugal imposed vasco da gama back
365,0,mid february the th armada makes stop mozambique island repair supply
366,0,april the ships th armada leave tagus estuary
367,0,may ships arrive first collection point cape verde
368,0,june the th armada reaches mozambique island
369,0,august lopo soares leaves mozambique
370,0,the following list ships regarded authoritative tentative list compiled various conflicting accounts
371,0,no actual names ships known
372,0,the admiral fleet capit mor captain major lopo soares de albergaria sometimes called lopo soares de alvarenga simply lopo soares
373,0,a notable exception would appear long association kpfa berkeley listener supported non commercial fm station
374,0,rexroth central figure san francisco bay area poetry exercised major early influence evolution area local artistic culture social counterculture
375,0,his poetry marked sensitivity asian forms well appreciation ancient greek lyric poetry particularly sappho
376,0,during rexroth along scholar chung ling translated notable song dynasty poet li ch ing chao anthology chinese women poets titled the orchid boat
377,0,with the love poems marichiko rexroth claimed translated poetry contemporary young japanese woman poet later disclosed author gained critical recognition conveyed authentically feelings someone another gender culture ref
378,0,he moved greenwich village attended the new school dropping live postulant holy cross monastery west park new york
379,0,after meeting first wife moved san francisco would live california rest life
380,0,as young man chicago rexroth heavily involved anarchist movement active iww ref attending participating politically charged readings lectures
381,0,rexroth born kenneth charles marion rexroth south bend indiana ref son charles rexroth pharmaceuticals salesman delia reed
382,0,with eye ear herder herder
383,0,sky sea birds trees earth house beasts flowers
384,0,an autobiographical novel expanded edition
385,0,the burning heart seabury press
386,0,complete poems li ch ing chao
387,0,rexroth viewed love another person sacramental act could connect one transcendent universal awareness
388,0,rexroth married andr e dutcher commercial artist painter chicago
389,0,earlier generation displays susceptible screen burn image retention
390,0,plasma displays generally heavier lcd may require careful handling kept upright
391,0,a panel plasma display typically comprises millions tiny compartments two panels glass
392,0,control circuitry charges electrodes cross paths cell creating voltage difference front back
393,0,burroughs corporation maker adding machines computers developed panaplex display early
394,0,in weber demonstrated color plasma display industry convention san jose
395,0,plasma displays bright lux higher module wide color gamut produced fairly large sizes diagonally
396,0,plasma screens made glass this may causes glare reflected objects viewing area
397,0,competing display technologies include cathode ray tube crt organic light emitting diode oled amlcd digital light processing dlp sed tv led display field emission display fed quantum dot display qled
398,0,wessely completed medical rotation newcastle
399,0,in wessely elected president royal college psychiatrists
400,0,he instrumental setting commission acute psychiatric care chaired lord crisp investigate increasing numbers inappropriate area placements patients year seen hospitalised outside local area sometimes end country
401,0,he trustee charity combat stress ref provides help service personnel mental health problems recently spent sabbatical department war studies king college london ref
402,0,the first rent officer appointments made city westminster rent officers appointed registration areas trained
403,0,the institute rent officers iro formed promote professional approach carry education training
