,cluster_no,sentences
48,0,despite treaty concern reaction marriage victoria eug nie conversion among protestants accommodated british government decision king edward need grant official consent marriage privy council despite fact niece british subject
49,0,victoria eugenie great grandson felipe vi present king spain
50,0,victoria eugenie cartier tiara diamonds set pearls alternatively emeralds left daughter infanta maria cristina countess marone
51,0,a sapphire ring owned victoria eugenie sold sotheby may ref
52,0,victoria eugenie born october balmoral castle scotland
53,0,as prince henry product morganatic marriage took style prince battenberg mother created princess battenberg right
54,0,victoria eugenie grew queen victoria household british monarch reluctantly allowed beatrice marry condition remain mother full time companion personal secretary
55,0,in whole family gathered rome baptism palazzo malta juan eldest son infante juan carlos vatican cardinal secretary state eugenio pacelli stood dying pope pius xi would become pope pius xii months
56,0,queen victoria eugenie returned briefly spain february stand godmother baptism great grandson infante felipe son infante juan carlos princess sophia greece denmark
57,0,princess victoria eugenie married king alfonso xiii royal monastery san jer nimo madrid may
58,0,she th dame royal order queen maria luisa
59,0,linguistic study khmer language divides history four periods one old khmer period subdivided pre angkorian angkorian ref
60,0,just modern khmer emerging transitional period represented middle khmer cambodia fell influence french colonialism ref
61,0,khmer krom southern khmer spoken indigenous khmer population mekong delta formerly controlled khmer empire part vietnam since
62,0,khmer khe spoken se san srepok sekong river valleys sesan siem pang districts stung treng province
63,0,khmer phonation distinction vowels survives archaic dialect western khmer ref
64,0,bokowsky v state n h the new hampshire attorney general authority enter nolle prosequi prosecutions initiated public officials private persons
65,0,merrill v sherburne n h supreme court judicature ruled general court practice passing bills give people new trials certain cases unconstitutional practice common american revolution done case case basis post revolution
66,0,state v wentworth n h prescribed model charge trial judges instruct jury issue reasonable doubt upheld u s court appeals first circuit tsoumas v state new hampshire f
67,0,chaplinsky v state new hampshire u s supreme court created fighting words exception first amendment united states constitution
68,0,in first impeachment trial supreme court justice commenced judge woodbury langdon portsmouth brother governor john langdon
69,0,the committee sent two resolutions house hr hr respectively recommending article impeachment brought supreme court justice sherman d horton jr justice john t broderick jr
70,0,he high commissioner india male maldives april march ref
71,0,currently consul general india consul general india new york usa april
72,0,in response swachh bharat abhiyan announced prime minister india narendra modi mulay initiated swachh consulate campaign new york
73,0,russia navya dishanche amantran a book examines russia portray new russia based firsthand experience russia ref
74,0,maati pankh aani aakash autobiographical novel marathi ref ref a true story regarding success democratic polity post independent india
75,0,in recent past contributed regular column loksatta marathi titled badalate vishwa badalata bharat ref vishwachi maze ghar ref sakal
76,0,in wrote column sadhana weekly ref ref ref ref marathi
77,0,he written several features human interest stories several journals periodicals etc english japanese marathi sakal lokmat maharashtra times antarnad sadhana etc ref
78,0,members advisory boards sahitya akademi ref
79,0,man ke khalihanomein hindi poetry collection
80,0,subah hai ki hoti nahin a collection poems middle east situation hindi urdu
81,0,from simple beginning village lat kolhapur district risen high position high commissioner india male maldives consul general india ref new york usa
82,0,his father manohar krishna mulay farmer tailor mother akkatai mulay homemaker
83,0,he completed graduation shahaji chattrapati college kolhapur topped shivaji university ba english literature prestigious dhananjay keer award
84,0,meanwhile topper mumbai university post graduation personnel management peter alvarez medal
85,0,gesar mukpo wrote directed tulku born son world renowned tibetan buddhist master ch gyam trungpa rinpoche british wife diana
86,0,in film mukpo british mother describes scandalous marriage tibetan monk vision dream asked son
87,0,angela pressburger daughter famed british filmmaker emeric pressburger deemed tulku intimate honest exploration
88,0,gesar mukpo begins interviewing fellow canadian dylan henderson first caucasian tulku discovered west recognized ch gyam trungpa rinpoche incarnation one teachers
89,0,mukpo meets year old san francisco wyatt arnold studying tibetan language india past year
90,0,shahid khan jaideep ahlawat pathan takes advantage mysteriousness faceless dacoit sultana qureshi impersonating identity rob british ferry trains
91,0,sardar marries nagma khatoon richa chadda
92,0,sardar asgar nasir start working j p singh satya anand ramadhir singh son
93,0,sensing sardar increasing clout ramadhir calls old associate ehsaan qureshi brokers meeting sultan qureshi ramadhir singh two decide become allies common enemy sardar
94,0,piyush mishra tigmanshu dhulia given discretion decide among would perform roles nasir ramadhir
95,0,ref maggie lee variety notes kashyap never lets diverse influences old school italo american mafia classics la coppola scorsese leone well david michod taut crime thriller animal kingdom override distinct indian color
96,0,fazloo character based sabir alam
97,0,the mafia downfall dhanbad come gang wars rather came differences kunti singh widow surajdeo singh three brothers baccha singh rajan singh ram dhani singh gave others opportunity make space ref
98,0,custom hutton v warren ref
99,0,in dunlop v selfridge lord dunedin adopted pollack metaphor purchase sale explain consideration
100,0,frank sinatra met nancy barbato b
101,0,nancy barbato sinatra frank sinatra announced separation valentine day february frank additional extra marital affair ava gardner compounding transgressions becoming public knowledge
102,0,kitty kelley claims sinatra first seen photographs ava gardner magazine sworn would marry
103,0,sinatra married actress mia farrow july
104,0,on july sinatra married barbara blakeley marx formerly married zeppo marx straight man marx brothers act ref converted catholicism marry
105,0,sinatra numerous extra marital affairs first blonde starlet alora gooding october hollywood first big love away home according nick sevano
106,0,sinatra close lauren bacall
107,0,sinatra also engaged india born south african actress dancer juliet prowse short fall early sinatra broke engagement late year prowse refused give career
108,0,on december frank sinatra jr kidnapped ref
109,0,julie sinatra born julie ann maria lyma february claims sinatra daughter unacknowledged affair showgirl dorothy bunocelli
110,0,in interview november issue vanity fair farrow said sinatra never really split answered possibly asked son ronan farrow might sinatra ref
111,0,in sinatra early days mafia boss willie moretti helped kickbacks reported intervened releasing contract tommy dorsey
112,0,according near contemporary account christian missionary saint boniface felled oak tree dedicated jove th century donar oak region hesse germany ref
113,0,a th century ad codex mainz germany known old saxon baptismal vow records name three old saxon gods uu den old saxon wodan saxn te thunaer way renunciation demons formula repeated germanic pagans formally converting christianity ref
114,0,the kentish royal legend probably th century contains story villainous reeve ecgberht kent called thunor swallowed earth place known unores hl old english thunor mound
115,0,in th century chronicler adam bremen records gesta hammaburgensis ecclesiae pontificum statue thor adam describes mightiest sits temple uppsala center triple throne flanked woden fricco located gamla uppsala sweden
116,0,in poetic edda compiled th century traditional source material reaching pagan period thor appears mentioned poems v lusp gr mnism l sk rnism l h rbar slj hymiskvi lokasenna rymskvi alv ssm l hyndlulj ref
117,0,in sk rnism l god freyr messenger sk rnir threatens fair ger r freyr smitten numerous threats curses including thor freyr odin angry risks potent wrath ref
118,0,thor main character h rbar slj traveling east comes inlet encounters ferryman gives name h rbar r odin disguise attempts hail ride
119,0,so thor secures goats egil home thor t r go hymir hall search cauldron large enough brew ale
120,0,in j tunheimr j tunn rymr sits barrow plaiting golden collars female dogs trimming manes horses
121,0,early evening disguised loki thor meet rymr assembled j tnar
122,0,the wretched sister j tnar appears asks bridal gift freyja j tnar bring mj llnir sanctify bride lay lap marry two hand goddess v r
123,0,in poem hyndlulj freyja offers j tunn woman hyndla bl sacrifice thor may protected comments thor care much j tunn women ref
124,0,in prologue prose edda snorri sturluson euhemerises thor prince troy son king memnon troana daughter priam
125,0,the name aesir explained men asia asgard asian city e troy
126,0,in prose edda thor mentioned four books prologue gylfaginning sk ldskaparm l h ttatal
127,0,in heimskringla composed th century snorri sturluson thor statues thor mentioned ynglinga saga h konar saga g lafs saga tryggvasonar l fs saga helga
128,0,thor remained pictured red bearded figure evident danish rhyme yet referred thor med sit lange sk g thor long beard north frisian curse diis ruadhiiret donner regiir
129,0,in english placenames old english thunor contrast old norse form name later introduced danelaw left comparatively traces
130,0,in late th century iceland specific breed fox known holta rr thor holt likely due red coat breed ref
131,0,three stones depict thor fishing serpent j rmungandr h rdum stone thy denmark altuna runestone altuna sweden one ardre image stones stone vii gotland sweden gosforth cross gosforth england
132,0,swedish chemist j ns jacob berzelius discovered chemical element named thor thorium ref
133,0,in american comic book writer stan lee brother larry lieber together jack kirby created marvel comics superhero thor based god name ref
134,0,first described thor hero shrew scutisorex thori species shrew native democratic republic congo
135,0,old norse rr old english unor old high german donar old saxon thunar old frisian thuner cognates within germanic language branch descending proto germanic masculine noun unraz thunder ref
136,0,butuan subdivided barangays urban ref rural
137,0,butuan city commercial industrial administrative center caraga region ref
138,0,edelmiro a amante sr former executive secretary pres
139,0,susan fuentes the queen visayan songs
140,0,susan calo medina host travel time abs cbn news channel tipong pinoy cultural oriented show aired gma network
141,0,laurice guillen award winning film director actress also wife actor johnny delgado deceased
142,0,josette campo atayde known sylvia sanchez
143,0,dante javelosa luzon veteran anchor broadcaster
144,0,seth go khe member player pilipinas aguilas national tackle football team
145,0,ardy larong small forward shooting guard alaska aces philippine basketball association pba
146,0,marky cielo actor gma network
147,0,lt gen hernando dca iriberri former chief staff armed forces philippines
148,0,it presidency joseph estrada project approved lobbied city government way back president fidel ramos time decongest traffic year old magsaysay bridge create alternate route
149,0,in words turkish historian handan nezir akme e commitment unionists constitution professed fighting skin deep rallying cry popular support anything else
150,0,the cup always greatly admired japan modernising called meiji restoration much impressed japan victory russia russian japanese war cup obsessed idea copying japanese
151,0,sultan abdulhamid ii persecuted members cup attempt hold absolute power forced reinstate ottoman constitution originally suspended threats overthrow cup young turk revolution
152,0,in countercoup islamists cup culminated march incident reactionaries rebelled restoration constitutional system retook power istanbul support sultan abdulhamid ii absolute rule
153,0,during reign sultan abdul hamid ii pan islamism become hugely important part state ideology abdul hamid often stressed claim caliph
154,0,the cup times identified two opposition parties mustafa kemal atat rk attempted introduce turkish politics party order help jump start multiparty democracy turkey namely progressive republican party liberal republican party
155,0,after failure expedition cup leaders enver djemal andreas jun dubjel talaat known collectively three pashas involved ordering deportations massacres million armenians known history armenian genocide
156,0,william blackstone also spelled william blaxton colonial times first european settle live cumberland
157,0,cumberland home public charter school first rhode island mayoral academy blackstone valley prep originally democracy prep blackstone valley
158,0,the one non public school cumberland mercymount country day school run sisters mercy americas roman catholic order new england regional headquarters cumberland
159,0,paley born urbana ref illinois daughter jean passovoy hiram paley ref
160,0,paley public knowledge organization ip award work intellectual property ref
161,0,between projects paley worked freelance director duck studios los angeles ref
162,0,the football war honduras el salvador two members cacm effectively suspended attempts regional integration esquipulas ii agreement signed
163,0,august crossing indian ocean th armada lopo soares de albergaria arrives anjediva island
164,0,late august early september saldanha louren accompany lopo soares th armada coast cannanore
165,0,hearing armada arrival duarte pacheco quilon sets sail back cochin meets lopo soares september october according castanheda
166,0,october while cochin lopo soares receives reports zamorin calicut dispatched force fortify cranganore port city northern end vembanad lagoon usual entry point zamorin army fleet malabari backwaters
167,0,converging cranganore portuguese cochinese vembanad fleet quickly disperses zamorin forces beach cannon fire lands amphibian assault force portuguese cochinese nairs take rest zamorin forces close combat
168,0,the assault troops capture cranganore subject ancient city great capital chera dynasty kerala thorough violent sacking razing
169,0,two days later portuguese receive urgent message ruler tanur tanore whose kingdom lay north road calicut cranganore
170,0,duarte pacheco replacement capit mor fort manuel cochin nobleman manuel telles de vasconcelos manuel telles barreto according barros
171,0,the nd india armada pedro lvares cabral opened hostilities kingdom portugal zamorin king calicut calecute kozhikode dominant maritime power malabar coast india
172,0,gama delivered report lisbon late affect outfitting th armada left command afonso de albuquerque months earlier
173,0,basing vasco da gama report th armada set early equipped purposefully bringing soldiers ships protect portuguese factories cochin cannanore
174,0,february the th armada arrives kilwa lopo soares announces intention collect yearly tribute city due king manuel i portugal imposed vasco da gama back
175,0,july about nine days lopo de abreu arrival lopo soares de albergaria main fleet arrives lisbon
176,0,the admiral fleet capit mor captain major lopo soares de albergaria sometimes called lopo soares de alvarenga simply lopo soares
177,0,with rexroth acting master ceremonies allen ginsberg philip lamantia michael mcclure gary snyder philip whalen read famous poetry reading six gallery san francisco october
178,0,at age nineteen hitchhiked across country taking odd jobs working stint forest service trail crew hand cook packer pacific northwest marblemount ranger station ref
179,0,rexroth born kenneth charles marion rexroth south bend indiana ref son charles rexroth pharmaceuticals salesman delia reed
180,0,rexroth married andr e dutcher commercial artist painter chicago
181,0,within year andr e death rexroth married nurse poet marie kass
182,0,the monochrome plasma video display co invented university illinois urbana champaign donald bitzer h gene slottow graduate student robert willson plato computer system ref
183,0,after attending king edward vii school sheffield wessely studied trinity hall cambridge ba university college oxford bm bch london school hygiene tropical medicine msc
184,0,for work cfs wessely awarded jean hunter prize royal college physicians ref ref co winner john maddox prize ref sponsored nature ralph kohn foundation organised sense about science whose advisory council serves ref
185,0,in february appointed regius professor psychiatry king college london first regius chair kcl first psychiatry anywhere united kingdom ref
186,0,some activists favour physical aetiology cfs strongly criticised wessely including prof malcolm hooper ref countess mar ref
187,0,during late th century bennet family consisting mr mrs bennet five daughters jane elizabeth mary kitty lydia live comparative financial independence gentry longbourn working farm rural england
188,0,later bennets visited mr collins pompous clergyman talks little patroness lady catherine de bourgh
189,0,months later elizabeth visits newly wed mr mrs collins rosings lady catherine manor estate invited dine meet darcy colonel fitzwilliam transpires lady catherine nephews
190,0,when bingley darcy suddenly return netherfield jane accepts bingley proposal
191,0,mr bennet gives consent elizabeth assures love darcy
192,0,as several recent jane austen adaptations pride prejudice anglo american collaboration british studio working title films association french company studiocanal american parent company universal studios
193,0,according wright rosamund pike cast eldest sister knew going play nice simple person
194,0,donald sutherland reminded wright father cast bennet patriarch wright thought actor possessed strength handle six women
195,0,known bafta award winning work film vera drake jacqueline durran hired costume designer
196,0,in us uk universal studios home entertainment released standard vhs dvd february widescreen fullframe attached bonus features included audio commentary director joe wright look austen life ending scene elizabeth darcy kissing
197,0,the proposed uzbekistan gtl project partnership sasol uzbekneftegaz petronas ref
198,0,the international operations business cluster responsible sasol international operations eurasia north america include us mega projects lake charles louisiana ref
199,0,sasol exploration production international sepi develops manages group upstream interests oil gas exploration production mozambique south africa canada gabon australia ref
200,0,in cummings met two years later married second wife vivi janiss native nebraska appeared billed brice hutchins the ziegfeld follies ref
201,0,he good role western desert gold forgotten faces border flight three cheers love hollywood boulevard the accusing finger hideaway girl arizona mahoney the last train madrid
202,0,he supports basil rathbone victor mclaglen rio borrowed th century fox romance sonia henie everything happens night
203,0,cummings borrowed warner bros making film kings row directed sam wood
204,0,cummings starred alfred hitchcock spy thriller saboteur made universal priscilla lane norman lloyd
205,0,cummings meant fired wife teresa wright charles coburn eddie anderson however found actors would film pulled
206,0,cummings continued use mixture provided jacobson eventually becoming patient jacobson son thomas based los angeles later injecting
207,0,cummings son tony cummings played rick halloway nbc daytime serial another world early
208,0,cummings chosen producer john wayne co star play airline pilot captain sullivan the high mighty partly due cummings flying experience however director william a wellman overruled wayne hired robert stack part ref
209,0,cummings starred another hitchcock film dial m murder mark halliday co starring grace kelly ray milland
210,0,he also appeared elliott smith father fred grandy gopher abc the love boat ref
211,0,cummings born joplin missouri son dr charles clarence cummings former ruth annabelle kraft ref
212,0,cummings studied briefly drury college springfield missouri love flying caused transfer carnegie institute technology pittsburgh pennsylvania
213,0,the lost moment film noir walter wanger universal based the aspern papers henry james
214,0,he the accused hall wallis paramount supporting loretta young
215,0,paid full drama hal wallis paramount the petty girl musical columbia joan caulfield
216,0,simpsonwood cdc conference meeting convened june centers disease control prevention cdc held simpsonwood methodist retreat conference center norcross georgia
217,0,autism spectrum quotient aq questionnaire published simon baron cohen colleagues autism research centre cambridge uk
218,0,mother warriors written new york times bestselling author jenny mccarthy
219,0,brian deer british investigative reporter best known inquiries drug industry medicine social issues sunday times london
220,0,deirdre imus born founder president deirdre imus environmental health center part hackensack university medical center humc new jersey united states
221,0,john allman neuroscientist california institute technology pasadena california well recognized expert primates cognition evolutionary neuroscience
222,0,leo kanner pronounced conner june april jewish american psychiatrist physician known work related autism
223,0,bernard rimland jaquelyn mccandless md calls rimland the grand godfather movement understanding biological treatment autism
224,0,peter szatmari born canadian researcher autism asperger syndrome
225,0,lorna wing md frcpsych born october english psychiatrist physician
226,0,on christmas eve somewhere europe two world war ii u s army soldiers one broadway entertainer captain bob wallace bing crosby aspiring entertainer private phil davis danny kaye perform st division
227,0,bob calls ed harrison johnny grant old army buddy successful variety show host arrange televised invitation men formerly command general come inn christmas eve surprise
228,0,phil judy reveal bob engagement phony
229,0,berlin wrote a singer a dancer crosby planned co star fred astaire unavailable berlin wrote a crooner a comic crosby donald o connor o connor left project song
230,0,traveler talita work circus horacio temporary employment seller fabrics falls traveler arranges old friend hired well though without misgivings
231,0,la maga nickname real name luc beguiling intelligent whose love life spontaneous nature challenge horacio ego well assumptions life
232,0,apart horacio la maga members serpent club include ossip gregorovius presented rival luc affections artists perico romero etienne etienne friend guy monod wong ronald babs married
233,0,other major characters include pola another parisian love interest horacio diagnosed breast cancer cursed la maga gekrepten horacio lover argentina morelli italian writer much discussed serpent club
234,0,thousands white americans southern united states including relatives former president jimmy carter known confederados fled brazil american civil war founded two cities ref americana santa b rbara oeste ref
235,0,b foreigners nationality resident federative republic brazil fifteen uninterrupted years without criminal conviction provided apply brazilian nationality
236,0,the first municipality adopt co official language brazil s gabriel da cachoeira ref
237,0,the states santa catarina ref ref ref rio grande sul talian officially approved heritage language states ref esp rito santo pomeranian language along german language cultural heritage state ref
238,0,also production documentary video brasil talian ref directed written andr costantin executive producer historian fernando roveda ref
239,0,s gabriel da cachoeira nheengatu tukano baniwa ref ref
240,0,itueta district vila nietzel ref ref ref
241,0,espig oeste approval ref ref ref ref
242,0,santa maria herval ref ref ref ref
243,0,venda nova imigrante ref ref
244,0,most poles immigrated brazil german russian austro hungarian austrian passports ukrainians austrian passports hungarians romanian passports
245,0,the university inaugurated president jacques chirac president hosni mubarak ref
246,0,on november signing convention university paris ufe presence ufe former president tahani omar paris president jean charles pomerol french ambassador philippe coste
247,0,hany nasr el din invited assist supports finals studies master degree
248,0,lecturer myriam raymond invited teach universit de nantes curriculum international economics business
249,0,ahmed gamal currently making postgraduate studies ensps cole nationale sup rieure de physique de stasbourg laboratory field signals treatment
250,0,in book whipping girl trans woman julia serano refers unique discrimination trans women experience transmisogyny ref
251,0,according study done haley e solomon beth kurtz costes department psychology neuroscience university north carolina chapel hill trans women becoming visible media specifically film television
252,0,transgender day remembrance started transgender activist gwendolyn ann smith murder transgender woman rita hester november
253,0,alan fleming gilkison wanaka
254,0,the honourable john richard harrison hawke bay speaker house representatives
255,0,ralph patrick thompson christchurch
256,0,norma janet lady holyoake government house wellington
257,0,howard graham fleming callam auckland
258,0,charles stuart masters auckland
259,0,john graeme sinclair reid auckland
260,0,professor george lancelot rolleston dean the christchurch clinical school university otago
261,0,william alexander sutton christchurch
262,0,horace leslie verry wellington
263,0,sheilah maureen winn christchurch
264,0,lieutenant colonel david william stewart moloney v royal new zealand infantry regiment
265,0,major gordon crichton forgie a royal new zealand infantry regiment territorial force
266,0,warrant officer class i albert james owen hewlett y royal new zealand infantry regiment
267,0,warrant officer class i selwyn francis ryder g royal new zealand signals
268,0,helen june patricia evison wellington
269,0,ronald william greenough te awamutu
270,0,frank albert hardy wellington fire commissioner new zealand fire service
271,0,victor edwin jaynes wellington
272,0,sydney james lavelle auckland
273,0,robert stewart lockwood palmerston north
274,0,george tuoro marsden hamilton
275,0,herbert james poole lower hutt
276,0,nancy elizabeth russell hawera
277,0,john oswald sanders auckland
278,0,hugh hunter saunders christchurch
279,0,alan raine topham auckland
280,0,warrant officer marine engineering artificer arthur wayne hurndell f
281,0,warrant officer master arms john joseph watt si
282,0,squadron leader daniel wakefield mcleod s
283,0,colin alexander dickie wellington
284,0,andrew robert dreaver auckland
285,0,maurice raymond duckmanton christchurch
286,0,william elliott superintendent new plymouth prison
287,0,alan charlton fraser rangiora
288,0,richard john hadlee christchurch
289,0,ralph james iorns golden bay
290,0,ian andrew kirkpatrick gisborne
291,0,eugene james metge macloughlin te puke
292,0,lieutenant commander courtney phillip medland paremata new zealand cadet forces
293,0,ethel margaret millar chief nursing officer auckland hospital board
294,0,alfred nevil wells peter newton rangiora
295,0,james julius nielsen superintendent traffic auckland city council
296,0,thelma elsie pearson blenheim
297,0,irene mary reid ngakawau westport
298,0,thomas michael noel rodgers palmerston north
299,0,edgar pearce rogers tawa private secretary ministers health
300,0,william david skelton levin
301,0,donald murray stafford rotorua
302,0,henry ellis thomas sutton invercargill
303,0,beatrice marion webster auckland
304,0,yolande elizabeth lyell gay hamilton
305,0,norman george goffin lower hutt
306,0,russell james laurenson lower hutt
307,0,noeline mary mcilroy christchurch
308,0,peter leonard newberry auckland
309,0,huntly stuart skinner dunedin
310,0,howard byron danby thames
311,0,gordon glendinning grieve invercargill
312,0,lorna margaret johnston auckland
313,0,john holdsworth nairn waipawa
314,0,william henry parr nelson
315,0,ronald george russell mayor wanganui
316,0,john bernard thomas reporoa
317,0,wallace emilie walker dunsandel chairman ellesmere county council
318,0,margaret clare boyce auckland
319,0,moe alma mary dudfield wellington
320,0,thomas mutu ellison otago
321,0,valerie loraa ferguson hamilton
322,0,molly casement persse foster auckland
323,0,leslie herbert freeman wellington
324,0,ripeka huingariri atawhai wilcox george bay islands
325,0,cecilia joan andrews greenwood havelock north
326,0,ruby hannan port chalmers
327,0,albert charles norman harmer auckland
328,0,punia mollie hotene morrinsville
329,0,norah annie humphreys nelson
330,0,arthur tolson inskeep frankton
331,0,mabel elizabeth james christchurch
332,0,adelaide frances mclean dunedin
333,0,ian nelson menzies new plymouth
334,0,evan william musgrove blenheim
335,0,robert hugh rodgers motueka
336,0,lucy dorset taylor wellington
337,0,teoti rupi wawatai gisborne
338,0,john renata blackman te kuiti
339,0,dorothy brenda isabel ruth brown invercargill
340,0,nancy margaret caldwell wainuiomata
341,0,dora kathleen cathro ngaruawahia
342,0,raymond william cleland wanaka chief ranger mount aspiring national park
343,0,elsie barrie dillon waipawa
344,0,douglas eccles fleury kimbolton
345,0,thomas william darcy hughes albany
346,0,hugh marchwell jennings gisborne
347,0,patricia mary lockhart wellington
348,0,thomas richard alexander mccleary christchurch
349,0,tere anini mcguire hicks bay
350,0,george cyril parish auckland lately senior education officer mt
351,0,betty alice plant wellington lately curator old st paul cathedral new zealand historic places trust
352,0,hoera kewa tika ruru te koraka
353,0,henry richard thorp paeroa
354,0,bryan blake wills rotorua
355,0,alexander robert mclay senior constable new zealand police
356,0,richard joseph o connell sergeant new zealand police
357,0,garth winston bicknell chief fire officer porirua fire brigade
358,0,phillip ernest o malley chief fire officer waimate volunteer fire brigade
359,0,ross phillip dallow inspector new zealand police
360,0,chief petty officer control electrical artificer leonard john bilton w
361,0,sergeant ian leslie mckenzie q royal new zealand electrical mechanical engineers
362,0,staff sergeant thomas douglas whitaker r royal new zealand infantry regiment
363,0,flight sergeant roger wilfred louis f
364,0,sergeant neville roderick clyde simpson m
365,0,sergeant peter stanley burton w
366,0,paulias matane head papua new guinea mission united nations
367,0,reverend brother peter hilary keaga
368,0,chief superintendent john daltoft revill
369,0,david john stewart general manager copra marketing board papua new guinea
370,0,sergeant warbongoi peter tukar for services royal papua new guinea constabulary
371,0,ratu jone latianara kikau
372,0,ratu henry barkeley vakaruru qasevakatini
373,0,meli vakarewakobau assistant commissioner royal fiji police force
374,0,peter john derham toorak victoria
375,0,andrew sheppard grimwade toorak victoria
376,0,kenneth spencer may darling point new south wales
377,0,keith charles owen shann deakin australian capital territory
378,0,sir robert crichton brown point piper new south wales
379,0,peter charles alexander chatswood new south wales
380,0,leonard gordon darling south yarra victoria for service industry commerce
381,0,stuart leslie devlin london england
382,0,trevor alfred dinning mylor south australia
383,0,the honourable rendle mcneilage mac holten wangaratta victoria
384,0,professor bruce rodda williams hunters hill new south wales
385,0,patrick john vance ramsden armadale victoria
386,0,arthur william shepherd mackay queensland
387,0,malcolm edmund brooks walkerville south australia
388,0,kay cathrine millin brownbill glenelg east south australia
389,0,thomas ross burrell indooroopilly queensland
390,0,paris chambers hughesdale victoria
391,0,dr arthur ashley cooper pymble new south wales
392,0,john rowland dart st ives new south wales
393,0,vivian frederick davey kew victoria
394,0,james henry dolphin ocean grove victoria
395,0,roy dowell st ives new south wales
396,0,rabbi dr alfred fabian killara new south wales
397,0,harvey francis hayes torrens park south australia
398,0,john sinclair leslie hill moree new south wales
